Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,Realtor,Price_CLP_MM,F_homicidio,T_homicidio,R_homicidio,F_rlh,T_rlh,R_rlh,F_rlnh,T_rlnh,R_rlnh,F_r_veh,T_r_veh,R_r_veh,F_r_violencia,T_r_violencia,R_r_violencia,F_violacion,T_violacion,R_violacion,Sector
SanBernardo,PasajeRemi,3,2.0,63.0,107.0,2.0,Propiedades Abarca,115.95,22,6.4,alto,372,108.6,medio,1004,293.2,medio,861,251.5,alto,2525,737.4,alto,81,23.7,alto,Sur
Peñalolén,AlbertoOrregoLuco,3,2.0,98.0,227.0,2.0,Lorraine Landon Propiedades,242.01,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
LaFlorida,Sinaí,4,2.0,153.0,173.0,2.0,Paz  Legal & Home,210.0,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
LaCisterna,Pintados180,5,2.0,150.0,330.0,3.0,Rodrigo Cañas de la Cerda Propiedades,295.4,8,7.9,alto,170,167.8,medio,363,358.3,medio,523,516.2,crítico,1137,1122.3,crítico,31,30.6,crítico,Sur
Melipilla,entretacnaconyungaymelipilla,3,1.0,43.0,198.0,2.0,Paula Vivanco Arenas,75.0,7,4.8,alto,325,223.2,alto,615,422.4,alto,113,77.6,medio,451,309.8,medio,31,21.3,medio,Surponiente
LaFlorida,¡Miraesto!¡Esespectacular!RojasMagallanes,4,4.0,177.0,259.0,3.0,Punto Exacto Corredora de Propiedades Ltda.,320.31,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
Macul,Montevideo,3,1.0,81.0,160.0,3.0,Novavista,125.0,4,2.9,medio,255,186.0,alto,547,399.0,alto,245,178.7,medio,867,632.5,alto,35,25.5,alto,Suroriente
LaReina,Cordillera,4,1.0,70.0,135.0,1.0,Novavista,105.0,1,1.0,bajo,309,308.6,crítico,481,480.4,alto,250,249.7,alto,341,340.6,medio,14,14.0,medio,Nororiente
Colina,PortalLosMaitenes,3,3.0,167.0,400.0,3.0,Tym Corredoras,480.46,16,8.4,crítico,336,177.1,alto,755,397.9,alto,245,129.1,medio,697,367.3,medio,48,25.3,alto,Norte
Quilicura,ValleLoCampino,5,3.0,178.0,216.0,1.0,G A M P. Propiedades,227.0,5,1.9,medio,207,77.6,bajo,660,247.4,medio,408,152.9,medio,1658,621.4,alto,49,18.4,medio,Norte
LaFlorida,CascadadelaPalomaSur,3,3.0,121.0,290.0,2.0,Samsara Propiedades y Asesorías,266.92,14,3.4,medio,613,150.9,medio,1160,285.6,medio,653,160.7,medio,2198,541.1,alto,80,19.7,medio,Suroriente
Recoleta,DoctorSoterodelRío&Huasco,4,2.0,160.0,300.0,2.0,Navacasa Propiedades,143.0,20,10.2,crítico,173,88.6,bajo,508,260.3,medio,416,213.1,alto,2438,1249.1,crítico,53,27.2,alto,Norte
PadreHurtado,Villacentenario,2,1.0,60.0,90.0,1.0,Propiedades Coda,75.0,5,6.4,alto,150,192.1,alto,327,418.7,alto,96,122.9,medio,203,260.0,medio,17,21.8,medio,Surponiente
Peñaflor,DonVicente,3,3.0,130.0,150.0,2.0,Propiedades Coda,120.0,3,2.9,medio,213,204.6,alto,407,390.9,alto,124,119.1,medio,259,248.8,medio,18,17.3,medio,Surponiente
PuenteAlto,SargentoMenadier,5,2.0,130.0,115.0,2.0,Intermedia Propiedades,64.5,15,2.3,medio,863,130.7,medio,1271,192.5,bajo,1015,153.7,medio,2883,436.6,medio,137,20.7,medio,Suroriente
EstaciónCentral,Anay,3,2.0,80.0,160.0,1.0,Arévalo Propiedades,79.0,19,8.7,crítico,233,107.0,medio,542,249.0,medio,648,297.7,alto,2059,946.0,crítico,48,22.1,alto,Surponiente
Maipú,BanderaChilena,4,2.0,50.0,69.0,1.0,alejandra escanilla garrido,74.0,9,1.5,medio,765,130.6,medio,1320,225.4,medio,1161,198.2,alto,3239,553.0,alto,115,19.6,medio,Surponiente
LaReina,SectorBlestGanaL3CastilloVelasco,3,2.0,228.0,451.0,3.0,Bello Propiedades Gestión Inmobiliaria,448.43,1,1.0,bajo,309,308.6,crítico,481,480.4,alto,250,249.7,alto,341,340.6,medio,14,14.0,medio,Nororiente
Lampa,LosHalcones,3,1.0,85.0,180.0,3.0,Alessandro Matteucci Cajas,130.0,4,3.0,medio,302,222.9,alto,646,476.9,alto,191,141.0,medio,664,490.2,medio,29,21.4,medio,Norte
Peñalolén,LosJardineros,4,2.0,250.0,500.0,4.0,Helena de Troya,273.0,12,4.4,medio,481,177.7,alto,737,272.3,medio,402,148.5,medio,1037,383.1,medio,70,25.9,alto,Suroriente
