,Sec_Centro,Sec_Nororiente,Sec_Norponiente,Sec_Norte,Sec_Sur,Sec_Suroriente,Sec_Surponiente,Dorms,Baths,Built Area,Total Area,Parking,Price_CLP_MM
325,False,True,False,False,False,False,False,4,3.0,140.0,420.0,2.0,779.42
326,False,True,False,False,False,False,False,6,5.0,344.0,1050.0,4.0,996.52
327,False,True,False,False,False,False,False,6,4.0,210.0,480.0,2.0,711.8
328,False,True,False,False,False,False,False,5,5.0,266.0,836.0,3.0,921.78
329,False,True,False,False,False,False,False,5,5.0,433.0,1127.0,4.0,1067.7
330,False,True,False,False,False,False,False,6,7.0,735.0,2502.0,4.0,2669.25
331,False,True,False,False,False,False,False,6,4.0,415.0,1261.0,4.0,1049.9
332,False,True,False,False,False,False,False,6,4.0,325.0,125.0,1.0,500.0
333,False,False,False,False,True,False,False,4,2.0,90.0,198.0,2.0,140.0
334,False,False,False,False,False,False,True,6,3.0,484.0,437.0,4.0,560.0
335,False,True,False,False,False,False,False,3,2.0,168.0,1246.0,4.0,782.98
336,False,False,False,False,False,True,False,4,2.0,115.0,307.0,2.0,327.43
337,False,True,False,False,False,False,False,4,5.0,280.0,515.0,2.0,853.45
338,False,False,False,False,False,True,False,4,2.0,139.0,199.0,2.0,280.0
339,False,False,False,False,False,True,False,4,3.0,96.0,148.0,1.0,160.16
340,False,False,False,False,False,True,False,5,3.0,155.0,299.0,4.0,391.13
341,False,False,False,False,False,True,False,3,3.0,90.0,100.0,1.0,177.95
342,False,False,False,False,False,True,False,4,2.0,120.0,288.0,3.0,320.31
343,False,False,False,False,False,True,False,4,2.0,127.0,370.0,3.0,170.0
344,False,True,False,False,False,False,False,4,2.0,135.0,356.0,3.0,533.85
345,False,False,False,False,False,False,True,4,2.0,160.0,260.0,2.0,260.0
346,False,False,False,False,False,False,True,3,3.0,90.0,180.0,2.0,183.29
347,False,False,False,False,False,True,False,4,2.0,110.0,278.0,2.0,263.37
348,False,True,False,False,False,False,False,3,2.0,87.0,158.0,2.0,273.69
349,False,True,False,False,False,False,False,5,3.0,163.0,497.0,3.0,516.05
